Locus	CUI
b0694	0.0239
b0695	0.0235
b0696	0.0227
b0697	0.0249
b0698	0.0237
b4513	0.0244
b0699	0.0222
b0700	0.0218
b0702	0.0164
b0704	0.0188
b0706	0.0208
b0707	0.0203
b0708	0.0218
b0709	0.0238
b0710	0.0237
b0711	0.0221
b0712	0.0229
b0713	0.0234
b0714	0.0214
b0715	0.0223
b0716	0.0211
b0717	0.0211
b0718	0.0213
b0719	0.0211
b0720	0.0242
b0721	0.0214
b0722	0.0231
b0723	0.0247
b0724	0.0213
b0726	0.0234
b0727	0.0258
b0728	0.0255
b0729	0.0243
b0730	0.0220
b0731	0.0225
b0732	0.0218
b0733	0.0240
b0734	0.0241
b4515	0.0219
b0735	0.0210
b0736	0.0207
b0737	0.0230
b0738	0.0234
b0739	0.0232
b0740	0.0220
b0741	0.0244
b0742	0.0217
b0750	0.0219
b0751	0.0222
b0752	0.0212
b0753	0.0220
b0754	0.0238
b0755	0.0252
b0756	0.0226
b0757	0.0232
b0758	0.0220
b0759	0.0232
b0760	0.0220
b0761	0.0228
b0762	0.0217
b0763	0.0242
b0764	0.0232
b0765	0.0245
b0766	0.0231
b0767	0.0225
b0768	0.0204
b0769	0.0215
b0770	0.0238
b0771	0.0232
b0772	0.0225
b0773	0.0221
b0774	0.0236
b0775	0.0240
b0776	0.0226
b0777	0.0214
b0778	0.0209
b0779	0.0240
b0780	0.0222
b0781	0.0231
b0782	0.0228
b0783	0.0246
b0784	0.0239
b0785	0.0232
b0786	0.0217
b0787	0.0185
b0788	0.0231
b0789	0.0230
b0790	0.0215
b0791	0.0230
b0792	0.0228
b0793	0.0245
b0794	0.0238
b0795	0.0234
b0796	0.0228
b0797	0.0251
b0798	0.0206
b0799	0.0232
b0800	0.0232
b0801	0.0224
b0802	0.0222
b0803	0.0220
b0804	0.0220
b0805	0.0218
b0806	0.0220
b0807	0.0219
b0808	0.0233
b0809	0.0257
b0810	0.0254
b0811	0.0252
b0812	0.0249
b0813	0.0218
b0814	0.0216
b0815	0.0216
b4705	0.0193
b0817	0.0218
b0818	0.0227
b0819	0.0237
b0820	0.0251
b0821	0.0215
b0822	0.0231
b0823	0.0245
b0824	0.0237
b0825	0.0247
b0826	0.0236
b0827	0.0235
b0828	0.0233
b0829	0.0225
b0830	0.0234
b0831	0.0226
b0832	0.0226
b0833	0.0224
b0834	0.0217
b0835	0.0243
b0836	0.0214
b0837	0.0220
b0838	0.0228
b0839	0.0234
b0840	0.0233
b0841	0.0213
b0842	0.0237
b0843	0.0200
b0844	0.0231
b0845	0.0223
b0846	0.0204
b0847	0.0224
b0848	0.0207
b0849	0.0231
b0850	0.0233
b0851	0.0235
b0852	0.0233
b0853	0.0236
b0854	0.0238
b0855	0.0238
b0856	0.0237
b0857	0.0224
b0858	0.0235
b0859	0.0232
b0860	0.0229
b0861	0.0252
b0862	0.0242
b0863	0.0244
b0864	0.0246
b0865	0.0207
b0866	0.0236
b0867	0.0233
b0868	0.0227
b0869	0.0224
b0870	0.0239
b0871	0.0231
b0872	0.0224
b0873	0.0246
b0874	0.0225
b0875	0.0233
b0876	0.0219
b0877	0.0218
b0878	0.0235
b0879	0.0228
b0880	0.0205
b0881	0.0215
b0882	0.0239
b0884	0.0231
b0885	0.0199
b0886	0.0223
b0887	0.0223
b0888	0.0243
b0889	0.0215
b0890	0.0226
b0891	0.0230
b0892	0.0231
b0893	0.0247
b0894	0.0231
b0895	0.0223
b0896	0.0228
b0897	0.0215
b0898	0.0215
b0899	0.0226
b0900	0.0204
b0901	0.0199
b0902	0.0228
b0903	0.0244
b0904	0.0217
b0905	0.0241
b0906	0.0224
b0907	0.0225
b0908	0.0235
b0909	0.0227
b0910	0.0229
b0911	0.0249
b0912	0.0216
b0913	0.0194
b0914	0.0234
b0915	0.0219
b0916	0.0221
b0917	0.0238
b0918	0.0232
b0919	0.0213
b0920	0.0227
b0921	0.0227
b0922	0.0242
b0923	0.0241
b0924	0.0253
b0925	0.0213
b0926	0.0209
b0927	0.0238
b0928	0.0239
b0929	0.0230
b0930	0.0238
b0931	0.0223
b0932	0.0242
b0933	0.0234
b0934	0.0231
b0935	0.0228
b0936	0.0228
b0937	0.0231
b0938	0.0202
b0939	0.0194
b0940	0.0208
b0941	0.0191
b0942	0.0203
b0943	0.0200
b0944	0.0202
b0945	0.0226
b0946	0.0222
b0947	0.0210
b0948	0.0243
b0949	0.0247
b0950	0.0212
b0951	0.0234
b0952	0.0217
b0953	0.0207
b0954	0.0259
b0955	0.0223
b0956	0.0238
b0957	0.0231
b0958	0.0186
b0959	0.0210
b0960	0.0223
b0961	0.0237
b0962	0.0229
b0963	0.0226
b0964	0.0221
b0965	0.0237
b0966	0.0226
b0967	0.0237
b0968	0.0208
b0969	0.0250
b0970	0.0247
b0972	0.0214
b0973	0.0230
b0974	0.0217
b0975	0.0235
b0976	0.0218
b0977	0.0218
b0978	0.0228
b0979	0.0224
b4592	0.0192
b0980	0.0207
b0981	0.0237
b0982	0.0217
b0983	0.0228
b0984	0.0219
b0985	0.0207
b0986	0.0207
b0987	0.0187
b4516	0.0182
b0988	0.0208
b0989	0.0195
b0990	0.0223
b0991	0.0185
b4517	0.0237
b0992	0.0206
b0993	0.0236
b0994	0.0219
b0995	0.0230
b0996	0.0226
b0997	0.0231
b0998	0.0231
b0999	0.0238
b1000	0.0242
b1001	0.0195
b1002	0.0229
b1003	0.0236
b1004	0.0223
b4518	0.0209
b1006	0.0227
b1007	0.0211
b1008	0.0224
b1009	0.0226
b1010	0.0232
b1011	0.0227
b1012	0.0220
b1013	0.0239
b1014	0.0243
b1015	0.0241
b1018	0.0250
b1019	0.0226
b1020	0.0203
b1021	0.0198
b1022	0.0213
b1023	0.0201
b1024	0.0201
b1025	0.0193
b1026	0.0206
b1027	0.0227
b1029	0.0204
b1033	0.0216
b1034	0.0217
b1035	0.0228
b1036	0.0231
b1037	0.0219
b1038	0.0204
b1039	0.0197
b1040	0.0200
b1041	0.0203
b1042	0.0216
b1043	0.0168
b1044	0.0206
b1045	0.0213
b1046	0.0208
b1047	0.0204
b1048	0.0222
b1049	0.0225
b1050	0.0216
b1051	0.0225
b1053	0.0206
b1054	0.0229
b1055	0.0220
b1056	0.0233
b1057	0.0205
b1058	0.0205
b1059	0.0221
b1060	0.0205
b1061	0.0222
b1062	0.0215
b1063	0.0240
b1064	0.0232
b1065	0.0231
b1066	0.0218
b1067	0.0244
b1068	0.0222
b1069	0.0234
b1070	0.0220
b1071	0.0230
b1072	0.0210
b1073	0.0229
b1074	0.0229
b1075	0.0224
b1076	0.0227
b1077	0.0228
b1078	0.0228
b1079	0.0218
b1080	0.0215
b1081	0.0227
b1082	0.0231
b1083	0.0223
b1084	0.0236
b1085	0.0169
b1086	0.0230
b1087	0.0223
b1088	0.0214
b1089	0.0212
b1090	0.0210
b1091	0.0231
b1092	0.0241
b1093	0.0242
b1094	0.0254
b1095	0.0231
b1096	0.0195
b1097	0.0230
b1098	0.0238
b1099	0.0214
b1100	0.0226
b1101	0.0241
b1102	0.0216
b1103	0.0234
b1104	0.0201
b1105	0.0223
b1106	0.0207
b1107	0.0234
b1108	0.0208
b1109	0.0243
b1110	0.0221
b1111	0.0213
b1112	0.0218
b1113	0.0226
b1114	0.0244
b1115	0.0217
b1116	0.0230
b1117	0.0256
b1118	0.0234
b1119	0.0225
b1120	0.0234
b1121	0.0197
b1122	0.0196
b1123	0.0238
b1124	0.0246
b1125	0.0245
b1126	0.0231
b1127	0.0242
b1128	0.0237
b1129	0.0222
b1130	0.0235
b1131	0.0243
b1132	0.0228
b1133	0.0242
b1134	0.0224
b1135	0.0219
b1136	0.0248
b1137	0.0172
b1138	0.0183
b1139	0.0174
b1140	0.0191
b1141	0.0173
b1143	0.0193
b1144	0.0187
b1145	0.0188
b1146	0.0215
b1147	0.0215
b1148	0.0173
b1150	0.0245
b1153	0.0221
b1154	0.0196
b1155	0.0215
b1156	0.0215
b1158	0.0207
b1159	0.0184
b1160	0.0161
b1161	0.0195
b1162	0.0204
b1163	0.0205
b1164	0.0198
b1165	0.0185
b1166	0.0204
b1167	0.0192
b1168	0.0200
b4520	0.0206
b1171	0.0244
b1172	0.0229
b4593	0.0193
b4594	0.0156
b1174	0.0233
b1175	0.0231
b1176	0.0217
b1177	0.0195
b1178	0.0193
b1179	0.0222
b1180	0.0225
b1181	0.0227
b1182	0.0221
b1183	0.0217
b1184	0.0208
b1185	0.0242
b1186	0.0238
b1187	0.0231
b1188	0.0229
b1189	0.0231
b1190	0.0222
b1191	0.0234
b1192	0.0227
b1193	0.0220
b1194	0.0219
b1195	0.0234
b1196	0.0204
b1197	0.0224
b1198	0.0232
b1199	0.0222
b1200	0.0227
b1201	0.0217
b1202	0.0201
b1203	0.0252
b1204	0.0227
b1205	0.0205
b1206	0.0238
b1207	0.0238
b1208	0.0215
b1209	0.0222
b1210	0.0241
b1211	0.0243
b1212	0.0223
b1213	0.0220
b1214	0.0236
b1215	0.0245
b4419	0.0226
b4421	0.0228
b4423	0.0226
b1216	0.0219
b1217	0.0236
b1218	0.0227
b1219	0.0224
b1220	0.0208
b1221	0.0245
b1222	0.0223
b1223	0.0231
b1224	0.0239
b1225	0.0247
b1226	0.0262
b1227	0.0249
b1229	0.0157
b1232	0.0225
b1233	0.0184
b1234	0.0212
b1235	0.0213
b1236	0.0237
b1237	0.0247
b1238	0.0201
b1241	0.0240
b1242	0.0213
b1243	0.0226
b1244	0.0215
b1245	0.0224
b1246	0.0227
b1247	0.0216
b1248	0.0252
b1249	0.0218
b4595	0.0178
b1250	0.0207
b1251	0.0207
b1252	0.0207
b1253	0.0207
b1254	0.0224
b1255	0.0222
b1256	0.0215
b1257	0.0214
b1258	0.0240
b1259	0.0223
b1260	0.0236
b1261	0.0243
b1262	0.0225
b1263	0.0240
b1264	0.0232
b1265	0.0215
b1266	0.0217
b1267	0.0233
b1268	0.0201
b1269	0.0243
b1270	0.0231
b1271	0.0223
b1272	0.0235
b1273	0.0230
b1274	0.0236
b1275	0.0213
b4522	0.0221
b4523	0.0205
b1276	0.0225
b1277	0.0234
b1278	0.0203
b1279	0.0220
b1280	0.0232
b1281	0.0220
b1282	0.0231
b1283	0.0214
b1284	0.0218
b4596	0.0215
b1285	0.0211
b4672	0.0199
b1286	0.0242
b1287	0.0199
b1288	0.0238
b1289	0.0199
b1290	0.0241
b1291	0.0227
b1292	0.0231
b1293	0.0228
b1294	0.0221
b1295	0.0222
b1296	0.0229
b1297	0.0232
b1298	0.0210
b1299	0.0216
b1300	0.0243
b1301	0.0241
b1302	0.0243
b1303	0.0229
b1304	0.0266
b1305	0.0232
b1306	0.0237
b1307	0.0228
b1308	0.0226
b1309	0.0211
b1310	0.0239
b1311	0.0233
b1312	0.0231
b1313	0.0230
b1314	0.0250
b1315	0.0236
b1316	0.0222
b1317	0.0230
b1319	0.0222
b1320	0.0223
b1321	0.0227
b1322	0.0233
b1323	0.0229
b1324	0.0239
b1325	0.0226
b1326	0.0210
b1327	0.0218
b1328	0.0203
b1329	0.0222
b1330	0.0225
b1331	0.0221
b1332	0.0228
b1333	0.0233
b1334	0.0237
b1335	0.0213
b1336	0.0215
b1337	0.0216
b1338	0.0216
b1339	0.0216
b1340	0.0225
b1341	0.0215
b1342	0.0222
b1343	0.0223
b1344	0.0234
b1345	0.0194
b1346	0.0196
b1347	0.0201
b1348	0.0167
b1349	0.0215
b1350	0.0217
b1351	0.0235
b4526	0.0205
b1352	0.0194
b1353	0.0179
b4527	0.0204
b1355	0.0194
b1356	0.0196
b1357	0.0169
b1358	0.0229
b1359	0.0198
b1360	0.0225
b4528	0.0184
b1363	0.0175
b1365	0.0219
b1370	0.0227
b1372	0.0200
b1373	0.0226
b1374	0.0204
b1375	0.0191
b1376	0.0221
b1377	0.0231
b1378	0.0233
b4529	0.0193
b1379	0.0245
b1380	0.0250
b1381	0.0222
b1382	0.0223
b1383	0.0209
b1384	0.0206
b1385	0.0212
b1386	0.0226
b1387	0.0224
b1388	0.0217
b1389	0.0212
b1390	0.0235
b1391	0.0202
b1392	0.0231
b1393	0.0224
b1394	0.0223
b1395	0.0221
b1396	0.0208
b1397	0.0225
b1398	0.0223
b1399	0.0217
b1400	0.0220
b4674	0.0162
b1402	0.0194
b1403	0.0204
b1404	0.0185
b1406	0.0219
b1407	0.0206
b1408	0.0201
b1409	0.0202
b1410	0.0212
b1411	0.0201
b1412	0.0234
b1413	0.0239
b1414	0.0206
b1415	0.0229
b1418	0.0206
b1419	0.0192
b4428	0.0202
b1420	0.0179
b1421	0.0221
b1422	0.0205
b1423	0.0220
b1424	0.0219
b1426	0.0221
b1427	0.0221
b1428	0.0210
b1429	0.0220
b1430	0.0233
b1431	0.0224
b1432	0.0200
b1433	0.0212
b1434	0.0191
b1435	0.0233
b1436	0.0209
b4532	0.0196
b1438	0.0211
b1439	0.0220
b1440	0.0223
b1441	0.0226
b1442	0.0234
b1443	0.0230
b1444	0.0231
b4598	0.0169
b1445	0.0208
b1446	0.0248
b1447	0.0218
b1448	0.0218
b1449	0.0217
b1450	0.0215
b1451	0.0213
b1452	0.0243
b1453	0.0231
b1454	0.0198
b1455	0.0194
b1457	0.0186
b1460	0.0198
b1461	0.0213
b1462	0.0206
b1463	0.0218
b1464	0.0220
b1465	0.0212
b1466	0.0241
b1467	0.0230
b1468	0.0225
b1469	0.0212
b1473	0.0206
b1474	0.0232
b1475	0.0222
b1476	0.0233
b1477	0.0223
b1478	0.0232
b1479	0.0241
b1480	0.0207
b1481	0.0207
b1482	0.0235
b1483	0.0209
b1484	0.0215
b1485	0.0218
b1486	0.0227
b1487	0.0227
b1488	0.0214
b1489	0.0231
b1490	0.0223
b1491	0.0200
b1492	0.0223
b1493	0.0238
b1494	0.0216
b1495	0.0211
b1496	0.0207
b1497	0.0202
b1498	0.0202
b1499	0.0193
b1500	0.0212
b1501	0.0205
b1502	0.0186
b1503	0.0193
b1504	0.0197
b1507	0.0204
b1508	0.0214
b1511	0.0215
b1512	0.0224
b1513	0.0234
b1514	0.0237
b1515	0.0222
b1516	0.0223
b1517	0.0235
b1518	0.0234
b1519	0.0215
b1520	0.0219
b1521	0.0247
b1522	0.0219
b1523	0.0214
b1524	0.0220
b1525	0.0235
b1526	0.0217
b1527	0.0189
b1528	0.0216
b1529	0.0238
b1530	0.0234
b1531	0.0210
b1532	0.0187
b1533	0.0223
b1534	0.0213
b4599	0.0230
b1535	0.0205
b1536	0.0216
b1537	0.0217
b1538	0.0228
b1539	0.0234
b1540	0.0235
b1541	0.0236
b1542	0.0218
b1544	0.0194
b1545	0.0204
b1546	0.0226
b1547	0.0191
b4533	0.0188
b1549	0.0184
b1550	0.0230
b1551	0.0205
b1552	0.0217
b1553	0.0202
b4689	0.0207
b1554	0.0218
b1555	0.0215
b1556	0.0212
b1557	0.0205
b1558	0.0202
b1559	0.0202
b1560	0.0204
b1561	0.0201
b1562	0.0186
b1563	0.0196
b1564	0.0225
b1565	0.0167
b1566	0.0215
b1569	0.0188
b1570	0.0194
b1571	0.0231
b1572	0.0222
b1573	0.0241
b1575	0.0197
b1576	0.0200
b1580	0.0219
b1581	0.0222
b1582	0.0217
b1583	0.0222
b1584	0.0226
b1585	0.0210
b1586	0.0196
b1587	0.0223
b1588	0.0213
b1589	0.0207
b1590	0.0206
b1591	0.0230
b1592	0.0212
b1593	0.0232
b1594	0.0225
b1595	0.0226
b1596	0.0209
b1597	0.0221
b4601	0.0225
b1598	0.0208
b1599	0.0225
b1600	0.0232
b1601	0.0226
b1602	0.0242
b1603	0.0237
b1604	0.0232
b1605	0.0241
b1606	0.0231
b1607	0.0219
b1608	0.0221
b1609	0.0229
b1610	0.0211
b1611	0.0233
b1612	0.0239
b1613	0.0238
b1614	0.0242
b1615	0.0205
b1616	0.0220
b1617	0.0225
b1618	0.0224
b1619	0.0226
b1620	0.0213
b1621	0.0231
b1622	0.0218
b1623	0.0234
b1624	0.0220
b4409	0.0181
b1625	0.0212
b1626	0.0199
b1627	0.0231
b1628	0.0222
b1629	0.0233
b1630	0.0216
b1631	0.0227
b1632	0.0235
b1633	0.0218
b1634	0.0243
b1635	0.0229
b1636	0.0236
b1637	0.0242
b1638	0.0226
b1639	0.0220
b1640	0.0218
b1641	0.0220
b1642	0.0228
b1643	0.0203
b1644	0.0217
b1645	0.0211
b1646	0.0237
b1647	0.0235
